1,Afganistán,null,null
2,Albania,null,null
3,Alemania,null,null
4,Andorra,null,null
5,Angola,null,null
6,Antigua y Barbuda,null,null
7,Arabia Saudita,null,null
8,Argelia,null,null
9,Argentina,null,null
10,Armenia,null,null
11,Australia,null,null
12,Austria,null,null
13,Azerbaiyán,null,null
14,Bahamas,null,null
15,Bangladés,null,null
16,Barbados,null,null
17,Baréin,null,null
18,Bélgica,null,null
19,Belice,null,null
20,Benín,null,null
21,Bielorrusia,null,null
22,Birmania,null,null
23,Bolivia,null,null
24,Bosnia-Herzegovina,null,null
25,Botsuana,null,null
26,Brasil,null,null
27,Brunéi,null,null
28,Bulgaria,null,null
29,Burkina Faso,null,null
30,Burundi,null,null
31,Bután,null,null
32,Cabo Verde,null,null
33,Camboya,null,null
34,Camerún,null,null
35,Canadá,null,null
36,Catar,null,null
37,Chad,null,null
38,Chile,null,null
39,China,null,null
40,Chipre,null,null
41,Colombia,null,null
42,Comoras,null,null
43,Congo,null,null
44,Corea del Norte,null,null
45,Corea del Sur,null,null
46,Costa de Marfil,null,null
47,Costa Rica,null,null
48,Croacia,null,null
49,Cuba,null,null
50,Dinamarca,null,null
51,Dominica,null,null
52,Ecuador,null,null
53,Egipto,null,null
54,El Salvador,null,null
55,Emiratos Árabes Unidos,null,null
56,Eritrea,null,null
57,Eslovaquia,null,null
58,Eslovenia,null,null
59,España,null,null
60,Estados Unidos,null,null
61,Estonia,null,null
62,Esuatini,null,null
63,Etiopía,null,null
64,Filipinas,null,null
65,Finlandia,null,null
66,Fiyi,null,null
67,Francia,null,null
68,Gabón,null,null
69,Gambia,null,null
70,Georgia,null,null
71,Ghana,null,null
72,Granada,null,null
73,Grecia,null,null
74,Guatemala,null,null
75,Guinea,null,null
76,Guinea Ecuatorial,null,null
77,Guinea-Bisáu,null,null
78,Guyana,null,null
79,Haití,null,null
80,Honduras,null,null
81,Hungría,null,null
82,India,null,null
83,Indonesia,null,null
84,Irak,null,null
85,Irán,null,null
86,Irlanda,null,null
87,Islandia,null,null
88,Islas Marshall,null,null
89,Islas Salomón,null,null
90,Israel,null,null
91,Italia,null,null
92,Jamaica,null,null
93,Japón,null,null
94,Jordania,null,null
95,Kazajistán,null,null
96,Kenia,null,null
97,Kirguistán,null,null
98,Kiribati,null,null
99,Kosovo,null,null
100,Kuwait,null,null
101,Laos,null,null
102,Lesoto,null,null
103,Letonia,null,null
104,Líbano,null,null
105,Liberia,null,null
106,Libia,null,null
107,Liechtenstein,null,null
108,Lituania,null,null
109,Luxemburgo,null,null
110,Macedonia del Norte,null,null
111,Madagascar,null,null
112,Malasia,null,null
113,Malaui,null,null
114,Maldivas,null,null
115,Malí,null,null
116,Malta,null,null
117,Marruecos,null,null
118,Mauricio,null,null
119,Mauritania,null,null
120,México,null,null
121,Micronesia,null,null
122,Moldavia,null,null
123,Mónaco,null,null
124,Mongolia,null,null
125,Montenegro,null,null
126,Mozambique,null,null
127,Namibia,null,null
128,Nauru,null,null
129,Nepal,null,null
130,Nicaragua,null,null
131,Níger,null,null
132,Nigeria,null,null
133,Noruega,null,null
134,Nueva Zelanda,null,null
135,Omán,null,null
136,Países Bajos,null,null
137,Pakistán,null,null
138,Palaos,null,null
139,Palestina,null,null
140,Panamá,null,null
141,Papúa Nueva Guinea,null,null
142,Paraguay,null,null
143,Perú,null,null
144,Polonia,null,null
145,Portugal,null,null
146,Reino Unido,null,null
147,República Centroafricana,null,null
148,República Checa,null,null
149,República Democrática del Congo,null,null
150,República Dominicana,null,null
151,Ruanda,null,null
152,Rumania,null,null
153,Rusia,null,null
154,Samoa,null,null
155,San Cristóbal y Nieves,null,null
156,San Marino,null,null
157,San Vicente y las Granadinas,null,null
158,Santa Lucía,null,null
159,Santo Tomé y Príncipe,null,null
160,Senegal,null,null
161,Serbia,null,null
162,Seychelles,null,null
163,Sierra Leona,null,null
164,Singapur,null,null
165,Siria,null,null
166,Somalia,null,null
167,Sri Lanka,null,null
168,Sudáfrica,null,null
169,Sudán,null,null
170,Sudán del Sur,null,null
171,Suecia,null,null
172,Suiza,null,null
173,Surinam,null,null
174,Tailandia,null,null
175,Taiwán,null,null
176,Tanzania,null,null
177,Tayikistán,null,null
178,Timor Oriental,null,null
179,Togo,null,null
180,Tonga,null,null
181,Trinidad y Tobago,null,null
182,Túnez,null,null
183,Turkmenistán,null,null
184,Turquía,null,null
185,Tuvalu,null,null
186,Ucrania,null,null
187,Uganda,null,null
188,Uruguay,null,null
189,Uzbekistán,null,null
190,Vanuatu,null,null
191,Vaticano,null,null
192,Venezuela,null,null
193,Vietnam,null,null
194,Yemen,null,null
195,Yibuti,null,null
196,Zambia,null,null
197,Zimbabue,null,null
